epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
149,10029.4,1.11535,0.60845,0.96337,0.8009,0.70989,0.79559,0.46832,1.3531,0.85229,1.1105,0.00141392,0.00141392,0.00141392
150,10096.2,1.15589,0.6014,0.98296,0.79869,0.72469,0.79869,0.4786,1.36005,0.82272,1.12605,0.00140996,0.00140996,0.00140996
151,10163.4,1.18362,0.62242,0.99472,0.79368,0.77414,0.8235,0.49271,1.33944,0.7755,1.10627,0.001406,0.001406,0.001406
152,10230.4,1.15442,0.6116,0.97703,0.79951,0.75077,0.81101,0.47245,1.3676,0.7292,1.11617,0.00140204,0.00140204,0.00140204
153,10297.3,1.11783,0.58931,0.9718,0.77378,0.70279,0.77134,0.4411,1.42302,0.83968,1.14897,0.00139808,0.00139808,0.00139808
154,10364.4,1.10069,0.58579,0.95596,0.79488,0.75077,0.81054,0.49005,1.33239,0.79443,1.11209,0.00139412,0.00139412,0.00139412
155,10431.2,1.03527,0.56206,0.94789,0.77482,0.77231,0.81317,0.49471,1.3198,0.74917,1.11283,0.00139016,0.00139016,0.00139016
156,10498.2,1.02251,0.55835,0.93963,0.80565,0.76161,0.8217,0.50129,1.28936,0.76543,1.09526,0.0013862,0.0013862,0.0013862
157,10565.3,1.02813,0.55006,0.94605,0.80703,0.75745,0.82054,0.4977,1.29142,0.73873,1.10316,0.00138224,0.00138224,0.00138224
158,10632.2,1.0358,0.5609,0.93406,0.82438,0.73529,0.82371,0.48809,1.304,0.71278,1.11115,0.00137828,0.00137828,0.00137828
159,10699.2,1.03882,0.55625,0.95395,0.79662,0.76935,0.82972,0.49879,1.31499,0.77201,1.10634,0.00137432,0.00137432,0.00137432
160,10766.1,1.03433,0.55288,0.9441,0.82764,0.73839,0.8164,0.48748,1.35425,0.79216,1.11889,0.00137036,0.00137036,0.00137036
161,10832.9,1.02618,0.55412,0.94133,0.79124,0.71672,0.79062,0.48789,1.31795,0.90491,1.10856,0.0013664,0.0013664,0.0013664
162,10899.7,1.01304,0.56619,0.9459,0.81039,0.75232,0.815,0.48334,1.31508,0.73641,1.10634,0.00136244,0.00136244,0.00136244
163,10966.5,1.06822,0.55576,0.95658,0.81408,0.71847,0.81253,0.47364,1.35461,0.77369,1.1102,0.00135848,0.00135848,0.00135848
164,11033.5,1.05123,0.54375,0.94495,0.81073,0.71981,0.81308,0.48586,1.31513,0.76419,1.09872,0.00135452,0.00135452,0.00135452
165,11100.3,1.05581,0.55663,0.9514,0.81098,0.75542,0.83069,0.48707,1.34626,0.75252,1.11573,0.00135056,0.00135056,0.00135056
166,11167.4,1.02282,0.54594,0.93762,0.83399,0.71672,0.81293,0.49004,1.29753,0.74666,1.102,0.0013466,0.0013466,0.0013466
167,11234.4,1.02561,0.53461,0.94924,0.81069,0.75851,0.81329,0.50363,1.26649,0.73596,1.09745,0.00134264,0.00134264,0.00134264
168,11301.5,1.01375,0.55225,0.94363,0.83473,0.74768,0.84151,0.5172,1.29122,0.75019,1.09384,0.00133868,0.00133868,0.00133868
169,11368.8,1.00282,0.52221,0.93416,0.82758,0.74613,0.82561,0.51429,1.26925,0.76457,1.08537,0.00133472,0.00133472,0.00133472
170,11435.6,1.02634,0.53553,0.93638,0.80252,0.76116,0.82734,0.49149,1.33847,0.74611,1.11736,0.00133076,0.00133076,0.00133076
171,11502.7,1.02472,0.53399,0.93724,0.80833,0.76382,0.82103,0.49052,1.30781,0.75227,1.11193,0.0013268,0.0013268,0.0013268
172,11569.8,1.02397,0.51017,0.93252,0.81864,0.76006,0.83739,0.50126,1.33295,0.72811,1.11916,0.00132284,0.00132284,0.00132284
173,11636.6,1.02147,0.53326,0.94098,0.79303,0.74149,0.81457,0.48711,1.35162,0.73568,1.11643,0.00131888,0.00131888,0.00131888
174,11703.6,1.06168,0.54707,0.95286,0.75489,0.73898,0.78384,0.46592,1.37943,0.80551,1.13375,0.00131492,0.00131492,0.00131492
175,11770.4,1.05363,0.54265,0.94272,0.84116,0.77245,0.83328,0.50386,1.34234,0.71867,1.10737,0.00131096,0.00131096,0.00131096
176,11837.3,1.04013,0.53477,0.9384,0.80859,0.74768,0.81362,0.49888,1.33139,0.77588,1.10451,0.001307,0.001307,0.001307
